car_ID,CarName,fueltype,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,horsepower,citympg,highwaympg,price
1,alfa-romero giulia,gas,168.8,64.1,48.8,2548,four,130.0,111.0,21,27,13495.0
2,alfa-romero stelvio,gas,168.8,64.1,48.8,2548,four,130.0,111.0,21,27,16500.0
3,alfa-romero Quadrifoglio,gas,171.2,65.5,52.4,2823,six,152.0,154.0,19,26,16500.0
4,audi 100 ls,gas,176.6,66.2,54.3,2337,four,109.0,,24,30,13950.0
5,audi 100ls,gas,176.6,66.4,54.3,2824,five,136.0,115.0,18,22,
6,audi fox,gas,177.3,66.3,53.1,2507,five,136.0,110.0,19,25,15250.0
7,audi 100ls,gas,192.7,71.4,55.7,2844,five,136.0,110.0,19,25,17710.0
8,audi 5000,gas,192.7,71.4,55.7,2954,five,136.0,110.0,19,25,18920.0
9,audi 4000,gas,192.7,71.4,55.9,3086,five,131.0,140.0,17,20,23875.0
10,audi 5000s (diesel),gas,178.2,67.9,52.0,3053,five,131.0,,16,22,17859.167
11,bmw 320i,gas,176.8,64.8,54.3,2395,four,108.0,101.0,23,29,16430.0
12,bmw 320i,gas,176.8,64.8,54.3,2395,four,108.0,,23,29,16925.0
13,bmw x1,gas,176.8,64.8,54.3,2710,six,164.0,121.0,21,28,20970.0
14,bmw x3,gas,176.8,64.8,54.3,2765,six,164.0,121.0,21,28,21105.0
15,bmw z4,gas,189.0,66.9,55.7,3055,six,164.0,121.0,20,25,24565.0
16,bmw x4,gas,189.0,66.9,55.7,3230,six,209.0,182.0,16,22,30760.0
17,bmw x5,gas,193.8,67.9,53.7,3380,six,209.0,182.0,16,22,41315.0
18,bmw x3,gas,197.0,70.9,56.3,3505,six,,182.0,15,20,36880.0
19,chevrolet impala,gas,141.1,60.3,53.2,1488,three,61.0,,47,53,5151.0
20,chevrolet monte carlo,gas,155.9,63.6,52.0,1874,four,90.0,70.0,38,43,6295.0
21,chevrolet vega 2300,gas,158.8,63.6,52.0,1909,four,90.0,70.0,38,43,6575.0
22,dodge rampage,gas,157.3,63.8,50.8,1876,four,,68.0,37,41,5572.0
23,dodge challenger se,gas,157.3,63.8,50.8,1876,four,90.0,68.0,31,38,6377.0
24,dodge d200,gas,157.3,63.8,50.8,2128,four,98.0,102.0,24,30,7957.0
25,dodge monaco (sw),gas,157.3,63.8,50.6,1967,four,90.0,68.0,31,38,6229.0
26,dodge colt hardtop,gas,157.3,63.8,50.6,1989,four,90.0,,31,38,6692.0
27,dodge colt (sw),gas,157.3,63.8,50.6,1989,four,90.0,68.0,31,38,7609.0
28,dodge coronet custom,gas,157.3,63.8,50.6,2191,four,98.0,102.0,24,30,8558.0
29,dodge dart custom,gas,174.6,64.6,59.8,2535,four,122.0,88.0,24,30,8921.0
30,dodge coronet custom (sw),gas,173.2,66.3,50.2,2811,four,156.0,145.0,19,24,
31,honda civic,gas,144.6,63.9,50.8,1713,four,92.0,58.0,49,54,6479.0
32,honda civic cvcc,gas,144.6,63.9,50.8,1819,four,92.0,76.0,31,38,
33,honda civic,gas,150.0,64.0,52.6,1837,four,79.0,60.0,38,42,5399.0
34,honda accord cvcc,gas,150.0,64.0,52.6,1940,four,92.0,76.0,30,34,6529.0
35,honda civic cvcc,gas,150.0,64.0,52.6,1956,four,92.0,76.0,30,34,7129.0
36,honda accord lx,gas,163.4,64.0,54.5,2010,four,92.0,76.0,30,34,7295.0
37,honda civic 1500 gl,gas,157.1,63.9,58.3,2024,four,92.0,76.0,30,34,7295.0
38,honda accord,gas,167.5,65.2,53.3,2236,four,110.0,86.0,27,33,7895.0
39,honda civic 1300,gas,167.5,65.2,53.3,2289,four,110.0,86.0,27,33,9095.0
40,honda prelude,gas,175.4,65.2,54.1,2304,four,110.0,,27,33,8845.0
41,honda accord,gas,175.4,62.5,54.1,2372,four,110.0,,27,33,10295.0
42,honda civic,gas,175.4,65.2,54.1,2465,four,110.0,101.0,24,28,12945.0
43,honda civic (auto),gas,169.1,66.0,51.0,2293,four,110.0,100.0,25,31,10345.0
44,isuzu MU-X,gas,170.7,61.8,53.5,2337,four,111.0,78.0,24,29,6785.0
45,isuzu D-Max ,gas,155.9,63.6,52.0,1874,four,90.0,,38,43,8916.5
46,isuzu D-Max V-Cross,gas,155.9,63.6,52.0,1909,four,90.0,70.0,38,43,8916.5
47,isuzu D-Max ,gas,172.6,65.2,51.4,2734,four,119.0,90.0,24,29,11048.0
48,jaguar xj,gas,199.6,69.6,52.8,4066,six,258.0,176.0,15,19,32250.0
49,jaguar xf,gas,199.6,69.6,52.8,4066,six,258.0,176.0,15,19,35550.0
50,jaguar xk,gas,191.7,70.6,47.8,3950,twelve,326.0,262.0,13,17,36000.0
51,maxda rx3,gas,159.1,64.2,54.1,1890,four,91.0,68.0,30,31,5195.0
52,maxda glc deluxe,gas,159.1,64.2,54.1,1900,four,91.0,,31,38,6095.0
53,mazda rx2 coupe,gas,159.1,64.2,54.1,1905,four,91.0,68.0,31,38,
54,mazda rx-4,gas,166.8,64.2,54.1,1945,four,91.0,68.0,31,38,
55,mazda glc deluxe,gas,166.8,64.2,54.1,1950,four,91.0,68.0,31,38,7395.0
56,mazda 626,gas,169.0,65.7,49.6,2380,two,70.0,,17,23,10945.0
57,mazda glc,gas,169.0,65.7,49.6,2380,two,70.0,101.0,17,23,11845.0
58,mazda rx-7 gs,gas,169.0,65.7,49.6,2385,two,70.0,101.0,17,23,13645.0
59,mazda glc 4,gas,169.0,65.7,49.6,2500,two,80.0,135.0,16,23,15645.0
60,mazda 626,gas,177.8,66.5,53.7,2385,four,122.0,84.0,26,32,
61,mazda glc custom l,gas,177.8,66.5,55.5,2410,four,122.0,84.0,26,32,8495.0
62,mazda glc custom,gas,177.8,66.5,53.7,2385,four,122.0,84.0,26,32,10595.0
63,mazda rx-4,gas,177.8,66.5,55.5,2410,four,122.0,84.0,26,32,
64,mazda glc deluxe,diesel,177.8,66.5,55.5,2443,four,122.0,64.0,36,42,10795.0
65,mazda 626,gas,177.8,66.5,55.5,2425,four,122.0,84.0,26,32,11245.0
66,mazda glc,gas,175.0,66.1,54.4,2670,four,140.0,120.0,19,27,18280.0
67,mazda rx-7 gs,diesel,175.0,66.1,54.4,2700,four,134.0,72.0,31,39,18344.0
68,buick electra 225 custom,diesel,190.9,70.3,56.5,3515,five,183.0,123.0,22,25,
69,buick century luxus (sw),diesel,190.9,70.3,58.7,3750,five,183.0,123.0,22,25,28248.0
70,buick century,diesel,187.5,70.3,54.9,3495,five,183.0,123.0,22,25,28176.0
71,buick skyhawk,diesel,202.6,71.7,56.3,3770,five,183.0,123.0,22,25,31600.0
72,buick opel isuzu deluxe,gas,202.6,71.7,56.5,3740,eight,234.0,155.0,16,18,34184.0
73,buick skylark,gas,180.3,70.5,50.8,3685,eight,,155.0,16,18,35056.0
74,buick century special,gas,208.1,71.7,56.7,3900,eight,,,14,16,40960.0
75,buick regal sport coupe (turbo),gas,199.2,72.0,55.4,3715,eight,304.0,184.0,14,16,45400.0
76,mercury cougar,gas,178.4,68.0,54.8,2910,four,140.0,175.0,19,24,16503.0
77,mitsubishi mirage,gas,157.3,64.4,50.8,1918,four,92.0,68.0,37,41,5389.0
78,mitsubishi lancer,gas,157.3,64.4,50.8,1944,four,92.0,68.0,31,38,6189.0
79,mitsubishi outlander,gas,157.3,64.4,50.8,2004,four,92.0,68.0,31,38,
80,mitsubishi g4,gas,157.3,63.8,50.8,2145,four,98.0,102.0,24,30,7689.0
81,mitsubishi mirage g4,gas,173.0,65.4,49.4,2370,four,110.0,116.0,23,30,9959.0
82,mitsubishi g4,gas,173.0,65.4,49.4,2328,four,122.0,88.0,25,32,8499.0
83,mitsubishi outlander,gas,173.2,66.3,50.2,2833,four,156.0,145.0,19,24,12629.0
84,mitsubishi g4,gas,173.2,66.3,50.2,2921,four,156.0,145.0,19,24,14869.0
85,mitsubishi mirage g4,gas,173.2,66.3,50.2,2926,four,156.0,145.0,19,24,
86,mitsubishi montero,gas,172.4,65.4,51.6,2365,four,122.0,88.0,25,32,6989.0
87,mitsubishi pajero,gas,172.4,65.4,51.6,2405,four,122.0,88.0,25,32,8189.0
88,mitsubishi outlander,gas,172.4,65.4,51.6,2403,four,110.0,116.0,23,30,
89,mitsubishi mirage g4,gas,172.4,65.4,51.6,2403,four,110.0,116.0,23,30,
90,Nissan versa,gas,165.3,63.8,54.5,1889,four,97.0,69.0,31,37,5499.0
91,nissan gt-r,diesel,165.3,63.8,54.5,2017,four,103.0,55.0,45,50,7099.0
92,nissan rogue,gas,165.3,63.8,54.5,1918,four,97.0,69.0,31,37,6649.0
93,nissan latio,gas,165.3,63.8,54.5,1938,four,97.0,69.0,31,37,6849.0
94,nissan titan,gas,170.2,63.8,53.5,2024,four,97.0,69.0,31,37,7349.0
95,nissan leaf,gas,165.3,63.8,54.5,1951,four,97.0,69.0,31,37,7299.0
96,nissan juke,gas,165.6,63.8,53.3,2028,four,97.0,69.0,31,37,7799.0
97,nissan latio,gas,165.3,63.8,54.5,1971,four,97.0,,31,37,7499.0
98,nissan note,gas,170.2,63.8,53.5,2037,four,,69.0,31,37,7999.0
99,nissan clipper,gas,162.4,63.8,53.3,2008,four,97.0,69.0,31,37,8249.0
100,nissan rogue,gas,173.4,65.2,54.7,2324,four,120.0,,27,34,8949.0
101,nissan nv200,gas,173.4,65.2,54.7,2302,four,120.0,97.0,27,34,9549.0
102,nissan dayz,gas,181.7,66.5,55.1,3095,six,,152.0,17,22,13499.0
103,nissan fuga,gas,184.6,66.5,56.1,3296,six,181.0,152.0,17,22,14399.0
104,nissan otti,gas,184.6,66.5,55.1,3060,six,181.0,152.0,19,25,13499.0
105,nissan teana,gas,170.7,67.9,49.7,3071,six,181.0,160.0,19,25,
106,nissan kicks,gas,170.7,67.9,49.7,3139,six,181.0,200.0,17,23,19699.0
107,nissan clipper,gas,178.5,67.9,49.7,3139,six,181.0,160.0,19,25,18399.0
108,peugeot 504,gas,186.7,68.4,56.7,3020,four,120.0,97.0,19,24,11900.0
109,peugeot 304,diesel,186.7,68.4,56.7,3197,four,152.0,95.0,28,33,13200.0
110,peugeot 504 (sw),gas,198.9,68.4,58.7,3230,four,,97.0,19,24,12440.0
111,peugeot 504,diesel,198.9,68.4,58.7,3430,four,152.0,95.0,25,25,13860.0
112,peugeot 504,gas,186.7,68.4,56.7,3075,four,120.0,95.0,19,24,15580.0
113,peugeot 604sl,diesel,186.7,68.4,56.7,3252,four,152.0,,28,33,16900.0
114,peugeot 504,gas,198.9,68.4,56.7,3285,four,120.0,,19,24,16695.0
115,peugeot 505s turbo diesel,diesel,198.9,68.4,58.7,3485,four,152.0,95.0,25,25,17075.0
116,peugeot 504,gas,186.7,68.4,56.7,3075,four,120.0,97.0,19,24,16630.0
117,peugeot 504,diesel,186.7,68.4,56.7,3252,four,152.0,95.0,28,33,17950.0
118,peugeot 604sl,gas,186.7,68.3,56.0,3130,four,134.0,142.0,18,24,18150.0
119,plymouth fury iii,gas,157.3,63.8,50.8,1918,four,90.0,68.0,37,41,5572.0
120,plymouth cricket,gas,157.3,63.8,50.8,2128,four,98.0,,24,30,7957.0
121,plymouth fury iii,gas,157.3,63.8,50.6,1967,four,90.0,68.0,31,38,6229.0
122,plymouth satellite custom (sw),gas,167.3,63.8,50.8,1989,four,90.0,,31,38,6692.0
123,plymouth fury gran sedan,gas,167.3,63.8,50.8,2191,four,98.0,,31,38,7609.0
